rep_index,start_frame,end_frame,duration_frames,avg_angle,min_angle,max_angle,quality_note
1,446,463,17,42.8725298253427,7.083358244426661,132.75841374137286,good_depth
2,497,521,24,37.82020466698823,5.0443379079365345,137.41156476049454,good_depth
3,549,570,21,34.09681909722196,5.257173558169574,133.0697103781903,good_depth
4,603,622,19,44.54823300675811,9.833111705214508,133.0199054440788,good_depth
5,652,676,24,42.4547032101549,6.705297883897312,140.07179618329963,good_depth
6,711,732,21,47.21890900357352,6.495424594071918,140.08238047144772,good_depth
7,810,832,22,47.176977662651254,13.762557126690954,141.94647739920367,good_depth
8,868,887,19,55.5713492257414,17.518331262819892,137.5589514088553,good_depth
9,918,938,20,42.1534179712482,5.678531450171777,137.1168813928792,good_depth
10,973,991,18,45.365429488114785,8.45944376816917,140.98159528910284,good_depth
11,1028,1048,20,40.97641786591837,4.469046449715473,140.35029653174178,good_depth
12,1081,1102,21,45.9895472914897,10.428875348292431,135.73759730527897,good_depth
13,1136,1155,19,48.16048541054485,15.956095134265542,141.05112693452116,good_depth
