rep_index,arm_side,start_frame,end_frame,duration_frames,avg_abduction,max_abduction,max_elbow_drift,torso_tilt_flag,wrist_align_flag
1,right,27,115,88,40.937738801153664,101.04754498427066,90.0,0,1
1,left,0,179,179,42.90844736682458,89.60209151202454,119.0,0,1
2,right,119,200,81,44.46234465196039,94.40084291799018,128.0,0,1
3,right,211,359,148,45.78596945400547,95.48609349239231,126.0,0,1
2,left,190,529,339,38.92943561699654,94.3096863768792,121.0,0,1
4,right,405,534,129,37.37548962978117,103.21830248875068,129.0,1,1
5,right,548,713,165,41.65025199981988,92.09739630261095,121.0,0,1
3,left,553,891,338,43.004935904056424,91.49535908472699,122.0,0,1
4,left,909,1216,307,45.381505654145585,91.16292413675151,121.0,0,1
6,right,748,1216,468,46.71681178722613,97.14797646659659,127.0,0,1
7,right,1310,1489,179,46.608206020373196,92.920209940856,125.0,0,1
5,left,1238,1531,293,38.55878577580827,91.41831122876347,120.0,0,1
8,right,1750,2463,713,35.346405098562975,105.69444678441653,125.0,0,1
9,right,2480,2537,57,61.24418869937978,105.24274163348778,136.0,0,1
10,right,2577,2630,53,59.717600467002654,105.43842444596837,133.0,0,1
6,left,1564,2821,1257,34.063086190418026,108.23922312277992,129.0,1,1
